epoch,tow,excluded_satellite,full_selected_error_m,excluded_selected_error_m,full_selected_sub50cm,excluded_selected_sub50cm,exclusion_recovers_sub50cm,exclusion_breaks_sub50cm,oracle_min_error_m,excluded_best_probability,excluded_score_margin,excluded_best_assignment_id,guard_mean_pair_cost,selected_mean_pair_cost,n_constellations,n_satellites
0,177000.0,C11,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018321050856847248,0.004222283210788588,8e41d6ac58477488,0.0518917305135914,0.07692944875584999,4,33
0,177000.0,C12,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018298014731857364,0.0019787700131242703,8e41d6ac58477488,0.01980899279120394,0.02441754543374779,4,33
0,177000.0,C13,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018260378227640626,0.0033170655459033027,8e41d6ac58477488,0.025055315486775625,0.03617191112251403,4,33
0,177000.0,C21,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01831053861523202,0.002413386463240755,8e41d6ac58477488,0.018046208179833146,0.024739303228102603,4,33
0,177000.0,C22,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018177144339770118,0.0002796011320124747,8e41d6ac58477488,0.07535500080958513,0.08366772234310738,4,33
0,177000.0,C34,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018328263305749447,0.0024879494003488406,8e41d6ac58477488,0.018538878604914735,0.025392024376873,4,33
0,177000.0,C38,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01830735676587569,0.001402733325230096,8e41d6ac58477488,0.03145457706626549,0.03332642703753752,4,33
0,177000.0,C40,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01832468594067526,0.00262662186596134,8e41d6ac58477488,0.05120115246900984,0.06227069186030247,4,33
0,177000.0,C42,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018290031360677916,0.002684153757226096,8e41d6ac58477488,0.03452371610206487,0.051055352692817094,4,33
0,177000.0,C43,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018199466802046357,0.0028216325773107037,8e41d6ac58477488,0.017944110258674668,0.03004492119295272,4,33
0,177000.0,C44,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018260122989056764,0.005228171754711221,8e41d6ac58477488,0.041937874819379835,0.07225681490264715,4,33
0,177000.0,E02,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018176587966227013,0.005454555412972718,8e41d6ac58477488,0.09324425704708605,0.13118088257381727,4,33
0,177000.0,E04,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018213022688962154,0.002887025689922683,8e41d6ac58477488,0.05776109245752992,0.06714414111105184,4,33
0,177000.0,E09,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018180178611196245,0.0012113486323871575,8e41d6ac58477488,0.08450689001819285,0.06504856574495382,4,33
0,177000.0,E10,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01826551816958218,0.0016039959893178676,8e41d6ac58477488,0.06384635460947781,0.062312187511949696,4,33
0,177000.0,E11,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018251236537368345,0.0017323305590931093,8e41d6ac58477488,0.0564914555805138,0.05166461405981785,4,33
0,177000.0,E12,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018240884282274345,0.0024714135987343663,8e41d6ac58477488,0.05991446763534395,0.06041848213271265,4,33
0,177000.0,E19,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01819758128032785,0.0020475058612468428,8e41d6ac58477488,0.0558863364001326,0.054547557355918486,4,33
0,177000.0,E24,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01820362791780893,0.002178810321780994,8e41d6ac58477488,0.0756570389933176,0.06564082333170757,4,33
0,177000.0,E25,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018227505783416902,0.0027953414298651225,8e41d6ac58477488,0.06026593397297919,0.06529429126301368,4,33
0,177000.0,E36,0.5718439464313123,0.19226066015020857,0,1,1,0,0.19226066015020857,0.018381090501296934,0.0061508979294739585,e8fbf40b994e527a,0.42713754982745517,0.3569693971998377,4,33
0,177000.0,G03,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01813516745326813,0.000749438138575767,8e41d6ac58477488,0.03529910690910117,0.0342141698743308,4,33
0,177000.0,G04,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01822859372748762,0.006521006899005255,8e41d6ac58477488,0.11838402871428405,0.14745239277386277,4,33
0,177000.0,G06,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01824425821259676,0.0022432886641667454,8e41d6ac58477488,0.023101311161307776,0.024436112688812267,4,33
0,177000.0,G09,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018178716148387918,0.0010536303173990375,8e41d6ac58477488,0.03064752705034394,0.022938891072757612,4,33
0,177000.0,G11,0.5718439464313123,0.19226066015020857,0,1,1,0,0.19226066015020857,0.018207543578586626,0.0008330182757523563,e8fbf40b994e527a,0.06529427777877386,0.042688516709786566,4,33
0,177000.0,G12,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01812869106055805,0.00355736759486551,8e41d6ac58477488,0.02803884610283666,0.04613987383755431,4,33
0,177000.0,G17,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018192582425167716,0.0013443269706725353,8e41d6ac58477488,0.034909131717023895,0.026622036731424117,4,33
0,177000.0,G19,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.0182255867576123,0.002145033631818158,8e41d6ac58477488,0.023097000179689794,0.022918382074944774,4,33
0,177000.0,G20,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018204306070028257,0.001054228288204992,8e41d6ac58477488,0.028882043639009855,0.026296758813393845,4,33
0,177000.0,G22,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018194965006232137,0.0024277525113202275,8e41d6ac58477488,0.060895123915297104,0.050272038402828595,4,33
0,177000.0,J02,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018257984358029035,0.0021800435250268896,8e41d6ac58477488,0.040207389598301085,0.03553503068375666,4,33
0,177000.0,J03,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.018249028287955327,0.0021751707625772623,8e41d6ac58477488,0.09649700864178368,0.08043461249425576,4,33
0,177000.0,J07,0.5718439464313123,0.5718439464313123,0,0,0,0,0.19226066015020857,0.01826222257817081,0.0022196902828135745,8e41d6ac58477488,0.09564928290536837,0.08860520427167487,4,33
5,177001.0,C11,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01824257751198086,0.0035659669685179224,8e41d6ac58477488,0.06147021307606872,0.08509954224247887,4,33
5,177001.0,C12,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018215421351229607,0.001249508100063218,8e41d6ac58477488,0.01782300924142029,0.02020119113423669,4,33
5,177001.0,C13,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018177302406175433,0.0026493600555114877,8e41d6ac58477488,0.029796530129802223,0.036230069487390014,4,33
5,177001.0,C21,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018225720895315434,0.0010535116895190738,8e41d6ac58477488,0.01944042353332407,0.021476741774491017,4,33
5,177001.0,C22,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018059989318911673,0.00026519476483832793,8e41d6ac58477488,0.052904387451683896,0.0376180693908343,4,33
5,177001.0,C34,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01824503819890587,0.0015826978181091023,8e41d6ac58477488,0.017744777525839955,0.022109824538350368,4,33
5,177001.0,C38,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018220860664217475,0.0005896983817557794,8e41d6ac58477488,0.032334352461429586,0.026541506041445485,4,33
5,177001.0,C40,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018232815299220616,0.0016746802899061386,8e41d6ac58477488,0.049133720576318776,0.04476163327034291,4,33
5,177001.0,C42,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01821687312551742,0.0017990377226641263,8e41d6ac58477488,0.05284868836183112,0.06529448351719086,4,33
5,177001.0,C43,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018110511235947115,0.0013101899525451433,8e41d6ac58477488,0.0175384005976952,0.02158521834930592,4,33
5,177001.0,C44,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01816821847337126,0.003552244182088299,8e41d6ac58477488,0.025919623199682024,0.05028833040948153,4,33
5,177001.0,E02,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01807976003744837,0.0035599922540764106,8e41d6ac58477488,0.13268876807756158,0.14843502048533735,4,33
5,177001.0,E04,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01815165827392475,0.0018529996533794418,8e41d6ac58477488,0.10811152119141204,0.11476411783208358,4,33
5,177001.0,E09,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018112701599099612,0.00022051056237512578,8e41d6ac58477488,0.157963399322241,0.12718222628011486,4,33
5,177001.0,E10,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01819599026101495,0.0007905018563440641,8e41d6ac58477488,0.10970282266701774,0.114109508067056,4,33
5,177001.0,E11,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018179234098760273,0.001194697193736119,8e41d6ac58477488,0.10454875239388861,0.1042917244749349,4,33
5,177001.0,E12,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01817613810882789,0.001200088017659251,8e41d6ac58477488,0.10519596319966636,0.10473554337353973,4,33
5,177001.0,E19,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018139474980683454,0.0020028162966518742,8e41d6ac58477488,0.11288825163158552,0.12000164886233776,4,33
5,177001.0,E24,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01813747079337712,0.0011860920587166701,8e41d6ac58477488,0.11005135019606856,0.1051182098988579,4,33
5,177001.0,E25,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018161347496129625,0.003376770145917557,8e41d6ac58477488,0.13267512114924043,0.15211878852476676,4,33
5,177001.0,E36,0.5722659465602347,0.19477690458376762,0,1,1,0,0.19477690458376762,0.018420781717256123,0.007626930136386358,e8fbf40b994e527a,0.8501128707069961,0.797420133339384,4,33
5,177001.0,G03,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01805232162478128,0.00036158225515611764,8e41d6ac58477488,0.04320304740391229,0.036205820728623404,4,33
5,177001.0,G04,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018168437993804198,0.006516727988463825,8e41d6ac58477488,0.16323246422373563,0.20593898719406456,4,33
5,177001.0,G06,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01816736166385045,0.0014334766496345852,8e41d6ac58477488,0.030115008690256382,0.033339243717036386,4,33
5,177001.0,G09,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018102960031375404,0.0005724894578252177,8e41d6ac58477488,0.032107099196752684,0.03211633740262096,4,33
5,177001.0,G11,0.5722659465602347,0.19477690458376762,0,1,1,0,0.19477690458376762,0.018146575793813867,0.0015747991345970158,e8fbf40b994e527a,0.06412041292006458,0.052076283403617314,4,33
5,177001.0,G12,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01805665501978029,0.0030173364617112203,8e41d6ac58477488,0.049316267821780065,0.06100310787877136,4,33
5,177001.0,G17,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01811755479466625,0.0004077722774687431,8e41d6ac58477488,0.03592375340718513,0.03840994980024595,4,33
5,177001.0,G19,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018152239303358294,0.0012353615371371307,8e41d6ac58477488,0.03304368979101189,0.04245449417279931,4,33
5,177001.0,G20,0.5722659465602347,0.19477690458376762,0,1,1,0,0.19477690458376762,0.018141908598042187,0.00033454044988280585,e8fbf40b994e527a,0.04344535886722174,0.046570928643684825,4,33
5,177001.0,G22,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01812035213084535,0.0016727023608584107,8e41d6ac58477488,0.07745268086577929,0.06938200869243107,4,33
5,177001.0,J02,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018182329771254155,0.0013311737858951456,8e41d6ac58477488,0.028315194759007768,0.019788314553506083,4,33
5,177001.0,J03,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.01817341993922008,0.0013317111945697346,8e41d6ac58477488,0.07197315716142727,0.0490926173246677,4,33
5,177001.0,J07,0.5722659465602347,0.5722659465602347,0,0,0,0,0.19477690458376762,0.018186368366931216,0.0013637073022009366,8e41d6ac58477488,0.05493758588926406,0.04748236817575276,4,33
10,177002.0,C11,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018495383618672936,0.006607052431861188,e8fbf40b994e527a,0.043610919760071844,0.04059988197229532,4,32
10,177002.0,C12,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018511963805198327,0.008653261421136448,e8fbf40b994e527a,0.01956944846451003,0.020672640551341385,4,32
10,177002.0,C13,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018427575062076654,0.005791954884167803,e8fbf40b994e527a,0.0618709407267425,0.03870905186796932,4,32
10,177002.0,C21,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018521959033200173,0.008587869320168896,e8fbf40b994e527a,0.01915087836902322,0.019584285057329523,4,32
10,177002.0,C22,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018347334019924905,0.009393287990838578,e8fbf40b994e527a,0.045469579741617104,0.037645442647120456,4,32
10,177002.0,C34,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018537686943411482,0.008377885606917414,e8fbf40b994e527a,0.019138243308246462,0.01872533584325163,4,32
10,177002.0,C38,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.01854279935108085,0.009942314569729674,e8fbf40b994e527a,0.05318136131642205,0.05355783407485065,4,32
10,177002.0,C40,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018525478875053757,0.008321090658310049,e8fbf40b994e527a,0.05635497562877918,0.04387243969481354,4,32
10,177002.0,C42,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018501408999722375,0.008213271294314768,e8fbf40b994e527a,0.04947656278136748,0.055049958896463635,4,32
10,177002.0,C43,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.01838905283276421,0.007718936973855339,e8fbf40b994e527a,0.02042062385553215,0.017219602696685186,4,32
10,177002.0,C44,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.018422561642350486,0.006606549002346973,e8fbf40b994e527a,0.021474673965439606,0.01841075887872775,4,32
10,177002.0,E02,0.19447476868136185,0.19447476868136185,1,1,0,0,0.19447476868136185,0.01829647451830105,0.005517655503856127,e8fbf40b994e527a,0.032675282591631334,0.013264517644409786,4,32
