epoch,target,source,observation_id,stage,beta,n_rows,log_evidence
22,float_kf,doppler_velocity,tow=179464.400,0,1.0,3,
22,ddpr_guard,doppler_velocity,tow=179464.400,0,1.0,3,
22,basin_pf,doppler_velocity,tow=179464.400,0,1.0,3,-2.3808746675394494
23,float_kf,doppler_velocity,tow=179464.600,0,1.0,3,
23,ddpr_guard,doppler_velocity,tow=179464.600,0,1.0,3,
23,basin_pf,doppler_velocity,tow=179464.600,0,1.0,3,-2.3846113644399773
24,float_kf,doppler_velocity,tow=179464.800,0,1.0,3,
24,ddpr_guard,doppler_velocity,tow=179464.800,0,1.0,3,
24,basin_pf,doppler_velocity,tow=179464.800,0,1.0,3,-2.385166808039759
25,float_kf,doppler_velocity,tow=179465.000,0,1.0,3,
25,ddpr_guard,doppler_velocity,tow=179465.000,0,1.0,3,
25,basin_pf,doppler_velocity,tow=179465.000,0,1.0,3,-2.385062044520283
25,float_kf,dd_pseudorange,tow=179465.000,0,1.0,26,
25,ddpr_guard,dd_pseudorange,tow=179465.000,0,1.0,26,
25,float_kf,dd_carrier,tow=179465.000,0,1.0,26,
25,basin_pf,dd_pseudorange,tow=179465.000,0,1.0,26,-72.26118358960865
25,basin_pf,dd_carrier,tow=179465.000,0,1.0,26,13.661694377352017
26,float_kf,doppler_velocity,tow=179465.200,0,1.0,3,
26,ddpr_guard,doppler_velocity,tow=179465.200,0,1.0,3,
26,basin_pf,doppler_velocity,tow=179465.200,0,1.0,3,-2.357953659243484
27,float_kf,doppler_velocity,tow=179465.400,0,1.0,3,
27,ddpr_guard,doppler_velocity,tow=179465.400,0,1.0,3,
27,basin_pf,doppler_velocity,tow=179465.400,0,1.0,3,-2.39563036001283
28,float_kf,doppler_velocity,tow=179465.600,0,1.0,3,
28,ddpr_guard,doppler_velocity,tow=179465.600,0,1.0,3,
28,basin_pf,doppler_velocity,tow=179465.600,0,1.0,3,-2.3876582869042053
29,float_kf,doppler_velocity,tow=179465.800,0,1.0,3,
29,ddpr_guard,doppler_velocity,tow=179465.800,0,1.0,3,
29,basin_pf,doppler_velocity,tow=179465.800,0,1.0,3,-2.384533055026857
30,float_kf,doppler_velocity,tow=179466.000,0,1.0,3,
30,ddpr_guard,doppler_velocity,tow=179466.000,0,1.0,3,
30,basin_pf,doppler_velocity,tow=179466.000,0,1.0,3,-2.403420907673325
30,float_kf,dd_pseudorange,tow=179466.000,0,1.0,26,
30,ddpr_guard,dd_pseudorange,tow=179466.000,0,1.0,26,
30,float_kf,dd_carrier,tow=179466.000,0,1.0,26,
30,basin_pf,dd_pseudorange,tow=179466.000,0,1.0,26,-72.24422447840813
30,basin_pf,dd_carrier,tow=179466.000,0,1.0,26,13.537124756507307
31,float_kf,doppler_velocity,tow=179466.200,0,1.0,3,
31,ddpr_guard,doppler_velocity,tow=179466.200,0,1.0,3,
31,basin_pf,doppler_velocity,tow=179466.200,0,1.0,3,-2.369527805808057
32,float_kf,doppler_velocity,tow=179466.400,0,1.0,3,
32,ddpr_guard,doppler_velocity,tow=179466.400,0,1.0,3,
32,basin_pf,doppler_velocity,tow=179466.400,0,1.0,3,-2.381730790429379
33,float_kf,doppler_velocity,tow=179466.600,0,1.0,3,
33,ddpr_guard,doppler_velocity,tow=179466.600,0,1.0,3,
