epoch,target,source,observation_id,stage,beta,n_rows,log_evidence
0,float_kf,doppler_velocity,tow=177000.000,0,1.0,3,
0,ddpr_guard,doppler_velocity,tow=177000.000,0,1.0,3,
0,float_kf,dd_pseudorange,tow=177000.000,0,1.0,30,
0,ddpr_guard,dd_pseudorange,tow=177000.000,0,1.0,30,
0,float_kf,dd_carrier,tow=177000.000,0,1.0,29,
0,integrity_lineage,multipivot_dd_pseudorange,tow=177000.000,0,1.0,30,-0.18514880553513197
1,float_kf,doppler_velocity,tow=177000.200,0,1.0,3,
1,ddpr_guard,doppler_velocity,tow=177000.200,0,1.0,3,
1,basin_pf,doppler_velocity,tow=177000.200,0,1.0,3,-3.471298676200879
1,integrity_lineage,tdcp_displacement,tow=177000.000->177000.200,0,1.0,23,
2,float_kf,doppler_velocity,tow=177000.400,0,1.0,3,
2,ddpr_guard,doppler_velocity,tow=177000.400,0,1.0,3,
2,basin_pf,doppler_velocity,tow=177000.400,0,1.0,3,-2.4616391515056235
2,integrity_lineage,tdcp_displacement,tow=177000.200->177000.400,0,1.0,23,
3,float_kf,doppler_velocity,tow=177000.600,0,1.0,3,
3,ddpr_guard,doppler_velocity,tow=177000.600,0,1.0,3,
3,basin_pf,doppler_velocity,tow=177000.600,0,1.0,3,-2.392424584037713
3,integrity_lineage,tdcp_displacement,tow=177000.400->177000.600,0,1.0,23,
4,float_kf,doppler_velocity,tow=177000.800,0,1.0,3,
4,ddpr_guard,doppler_velocity,tow=177000.800,0,1.0,3,
4,basin_pf,doppler_velocity,tow=177000.800,0,1.0,3,-2.3849212871444254
4,integrity_lineage,tdcp_displacement,tow=177000.600->177000.800,0,1.0,23,
5,float_kf,doppler_velocity,tow=177001.000,0,1.0,3,
5,ddpr_guard,doppler_velocity,tow=177001.000,0,1.0,3,
5,basin_pf,doppler_velocity,tow=177001.000,0,1.0,3,-2.3849023631561557
5,float_kf,dd_pseudorange,tow=177001.000,0,1.0,30,
