method,city,run,n_scored,n_rover_epochs,coverage_pct,all_rms_m,fix_rms_m,fix_pct,lt50cm_pct,lt50cm_full_pct,ppc_official_pct,traj_path
scores,tokyo,run1,11676,11928,97.887,115.264442,,0.000,0.000,0.000,0.000,results\wp3a\tokyo_run1_fgo_backbone_pr_motion.csv
scores,tokyo,run1,11676,11928,97.887,595.657488,,0.000,0.000,0.000,0.000,results\wp3a\tokyo_run1_fgo_backbone_doppler.csv
